,tconst_series,tconst_episode,primaryTitle_series,primaryTitle_episode,seasonNumber,episodeNumber,averageRating,cast,characters
0,tt0386676,tt0664521,The Office,Pilot,1,1,7.6,"['Steve Carell', 'Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'Melora Hardin', 'David Denman', 'Leslie David Baker', 'Brian Baumgartner', 'Angela Kinsey', 'Henriette Mantel', 'Mike McCaul', 'Oscar Nuñez', 'Phyllis Smith']","['Michael Scott', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Ryan Howard', 'Jan Levinson-Gould', 'Roy Anderson', 'Stanley Hudson', 'Kevin Malone', 'Angela Martin', 'Office Worker', 'Office Worker', 'Oscar Martinez', 'Phyllis Lapin']"
1,tt0386676,tt0664514,The Office,Diversity Day,1,2,8.3,"['Steve Carell', 'Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'Larry Wilmore', 'Leslie David Baker', 'Brian Baumgartner', 'Kate Flannery', 'Mindy Kaling', 'Paul Lieberstein', 'Angela Kinsey', 'Oscar Nuñez', 'Phyllis Smith']","['Michael Scott', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Ryan Howard', 'Mr. Brown', 'Stanley Hudson', 'Kevin Malone', 'Meredith Palmer', 'Kelly Kapoor', 'Toby Flenderson', 'Angela Martin', 'Oscar Martinez', 'Phyllis Lapin']"
2,tt0386676,tt0664517,The Office,Health Care,1,3,7.9,"['Steve Carell', 'Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'Melora Hardin', 'Leslie David Baker', 'Brian Baumgartner', 'Kate Flannery', 'Charlie Hartsock', 'Mindy Kaling', 'Angela Kinsey', 'Paul Lieberstein', 'Oscar Nuñez']","['Michael Scott', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Ryan Howard', 'Jan Levinson-Gould', 'Stanley Hudson', 'Kevin Malone', 'Meredith Palmer', 'Travel Agent', 'Kelly Kapoor', 'Angela Martin', 'Toby Flenderson', 'Oscar Martinez']"
3,tt0386676,tt0664523,The Office,The Alliance,1,4,8.1,"['Steve Carell', 'Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'David Denman', 'Craig Robinson', 'Leslie David Baker', 'Brian Baumgartner', 'Kate Flannery', 'Paul Lieberstein', 'Angela Kinsey', 'Oscar Nuñez', 'Phyllis Smith']","['Michael Scott', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Ryan Howard', 'Roy Anderson', 'Darryl Philbin', 'Stanley Hudson', 'Kevin Malone', 'Meredith Palmer', 'Toby Flenderson', 'Angela Martin', 'Oscar Martinez       (as Oscar Nunez)', 'Phyllis Lapin']"
4,tt0386676,tt0664510,The Office,Basketball,1,5,8.4,"['Steve Carell', 'Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'David Denman', 'Craig Robinson', ""Patrice O'Neal"", 'Leslie David Baker', 'Brian Baumgartner', 'Matt DeCaro', 'Kate Flannery', 'Angela Kinsey', 'Oscar Nuñez']","['Michael Scott', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Ryan Howard', 'Roy Anderson', 'Darryl Philbin', 'Lonny', 'Stanley Hudson', 'Kevin Malone', 'Jerry', 'Meredith Palmer', 'Angela Martin', 'Oscar Martinez']"
5,tt0386676,tt0664518,The Office,Hot Girl,1,6,7.8,"['Steve Carell', 'Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'Amy Adams', 'Melora Hardin', 'David Denman', 'Leslie David Baker', 'Brian Baumgartner', 'Kate Flannery', 'Paul Lieberstein', 'Angela Kinsey', 'Oscar Nuñez']","['Michael Scott', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Ryan Howard', 'Katy', 'Jan Levinson-Gould', 'Roy Anderson', 'Stanley Hudson', 'Kevin Malone', 'Meredith Palmer', 'Toby Flenderson', 'Angela Martin', 'Oscar Martinez']"
